Incident_ID,Opened_At,Closed_At,Opened_By,Assigned_To,Priority,Impact,Urgency,Category,Subcategory,Status,Resolution_Code,Resolved_By,Short_Description,Description,Updated_At
INC000001,2025-07-01 00:00:00,,user156,user348,Critical,High,Low,Database,MySQL,In Progress,,,Issue 1 - Software related,"Detailed description of incident 1, auto-generated for testing.",2025-07-01 17:00:00
INC000002,2025-07-01 01:00:00,2025-07-01 16:00:00,user59,user389,High,Low,Medium,Software,OS,Closed,Solved Remotely,user590,Issue 2 - Software related,"Detailed description of incident 2, auto-generated for testing.",2025-07-04 10:00:00
INC000003,2025-07-01 02:00:00,2025-07-02 14:00:00,user84,user201,High,High,Medium,Security,Phishing,Resolved,Solved via On-Site,user458,Issue 3 - Database related,"Detailed description of incident 3, auto-generated for testing.",2025-07-03 01:00:00
INC000004,2025-07-01 03:00:00,,user185,user308,Low,High,High,Hardware,Laptop,In Progress,,,Issue 4 - Database related,"Detailed description of incident 4, auto-generated for testing.",2025-07-05 06:00:00
INC000005,2025-07-01 04:00:00,,user140,user355,Medium,Low,Medium,Hardware,Printer,Open,,,Issue 5 - Hardware related,"Detailed description of incident 5, auto-generated for testing.",2025-07-01 23:00:00
INC000006,2025-07-01 05:00:00,,user129,user311,Critical,Medium,High,Hardware,Desktop,Open,,,Issue 6 - Security related,"Detailed description of incident 6, auto-generated for testing.",2025-07-03 19:00:00
INC000007,2025-07-01 06:00:00,,user38,user346,Critical,Medium,Medium,Network,WAN,Open,,,Issue 7 - Database related,"Detailed description of incident 7, auto-generated for testing.",2025-07-03 02:00:00
INC000008,2025-07-01 07:00:00,2025-07-02 01:00:00,user69,user364,High,Medium,High,Network,WAN,Closed,Solved Remotely,user574,Issue 8 - Database related,"Detailed description of incident 8, auto-generated for testing.",2025-07-01 08:00:00
INC000009,2025-07-01 08:00:00,2025-07-04 06:00:00,user160,user213,High,Medium,High,Hardware,Desktop,Resolved,Solved Remotely,user552,Issue 9 - Network related,"Detailed description of incident 9, auto-generated for testing.",2025-07-03 08:00:00
INC000010,2025-07-01 09:00:00,2025-07-03 16:00:00,user59,user377,Critical,Medium,High,Database,SQL Server,Resolved,Solved Remotely,user408,Issue 10 - Network related,"Detailed description of incident 10, auto-generated for testing.",2025-07-03 13:00:00
INC000011,2025-07-01 10:00:00,,user85,user277,High,Medium,High,Database,SQL Server,Open,,,Issue 11 - Database related,"Detailed description of incident 11, auto-generated for testing.",2025-07-04 08:00:00
INC000012,2025-07-01 11:00:00,2025-07-01 23:00:00,user59,user292,Low,Medium,Low,Network,VPN,Closed,Solved via On-Site,user460,Issue 12 - Security related,"Detailed description of incident 12, auto-generated for testing.",2025-07-04 04:00:00
INC000013,2025-07-01 12:00:00,2025-07-04 05:00:00,user79,user240,Critical,Low,Medium,Hardware,Desktop,Closed,Solved Remotely,user544,Issue 13 - Security related,"Detailed description of incident 13, auto-generated for testing.",2025-07-04 22:00:00
INC000014,2025-07-01 13:00:00,,user4,user334,High,Low,Medium,Database,Oracle,Open,,,Issue 14 - Network related,"Detailed description of incident 14, auto-generated for testing.",2025-07-01 21:00:00
INC000015,2025-07-01 14:00:00,,user10,user356,Low,Medium,Medium,Network,WAN,Open,,,Issue 15 - Software related,"Detailed description of incident 15, auto-generated for testing.",2025-07-04 08:00:00
INC000016,2025-07-01 15:00:00,,user180,user340,Low,Low,Medium,Hardware,Laptop,Open,,,Issue 16 - Hardware related,"Detailed description of incident 16, auto-generated for testing.",2025-07-03 03:00:00
INC000017,2025-07-01 16:00:00,,user163,user310,Critical,High,High,Software,Email,In Progress,,,Issue 17 - Software related,"Detailed description of incident 17, auto-generated for testing.",2025-07-05 03:00:00
INC000018,2025-07-01 17:00:00,,user190,user204,Low,Medium,Low,Hardware,Laptop,In Progress,,,Issue 18 - Software related,"Detailed description of incident 18, auto-generated for testing.",2025-07-04 13:00:00
